생산일,제품코드,제품명,생산수량,제품LOT,소비기한,상태,채널
2026-05-14,PR096,,20,PRD-20260514-PR096-7976,2026-05-17,완료,coupang
2026-05-14,PR097,,10,PRD-20260514-PR097-7976,2026-05-17,완료,coupang
2026-05-14,PR098,,10,PRD-20260514-PR098-7976,2026-05-17,완료,coupang
2026-05-14,PR099,,10,PRD-20260514-PR099-7976,2026-05-17,완료,coupang
2026-05-14,PR100,,10,PRD-20260514-PR100-7976,2026-05-17,완료,coupang
2026-05-14,PR106,,10,PRD-20260514-PR106-7976,2026-05-17,완료,coupang
2026-05-14,PR108,,10,PRD-20260514-PR108-7976,2026-05-17,완료,coupang
2026-05-14,PR109,,10,PRD-20260514-PR109-7976,2026-05-17,완료,coupang
2026-05-14,PR110,,10,PRD-20260514-PR110-7976,2026-05-17,완료,coupang
2026-05-14,PR111,,20,PRD-20260514-PR111-7976,2026-05-17,완료,coupang
2026-05-14,PR112,,50,PRD-20260514-PR112-7976,2026-05-17,완료,coupang
2026-05-14,PR113,,10,PRD-20260514-PR113-7976,2026-05-17,완료,coupang
2026-05-14,PR114,,140,PRD-20260514-PR114-7976,2026-05-17,완료,coupang
2026-05-14,PR115,,10,PRD-20260514-PR115-7976,2026-05-21,완료,coupang
2026-05-14,PR116,,20,PRD-20260514-PR116-7976,2026-05-17,완료,coupang
2026-05-14,PR117,,10,PRD-20260514-PR117-7976,2026-05-17,완료,coupang
2026-05-14,PR118,,15,PRD-20260514-PR118-7976,2026-05-17,완료,coupang
2026-05-14,PR119,,20,PRD-20260514-PR119-7976,2026-05-17,완료,coupang
2026-05-14,PR120,,10,PRD-20260514-PR120-7976,2026-05-17,완료,coupang
2026-05-14,PR122,,10,PRD-20260514-PR122-7976,2026-05-17,완료,coupang
2026-05-14,PR123,,20,PRD-20260514-PR123-7976,2026-05-17,완료,coupang
2026-05-14,PR124,,10,PRD-20260514-PR124-7976,2026-05-17,완료,coupang
2026-05-14,PR125,,10,PRD-20260514-PR125-7976,2026-05-17,완료,coupang
2026-05-14,PR127,,6,PRD-20260514-PR127-7976,2026-05-17,완료,coupang
2026-05-14,PR128,,50,PRD-20260514-PR128-7976,2026-05-17,완료,coupang
2026-05-14,PR129,,10,PRD-20260514-PR129-7976,2026-05-17,완료,coupang
2026-05-14,PR134,,50,PRD-20260514-PR134-7976,2026-08-12,완료,coupang
2026-05-14,PR138,,20,PRD-20260514-PR138-7976,2026-06-14,완료,coupang
2026-05-14,PR140,,5,PRD-20260514-PR140-0442,2026-08-16,완료,oasis_paste
2026-05-14,PR147,,4,PRD-20260514-PR147-0442,2026-08-16,완료,oasis_paste
2026-05-14,PR149,,10,PRD-20260514-PR149-0442,2026-08-16,완료,oasis_paste
2026-05-14,PR150,,4,PRD-20260514-PR150-7976,2026-05-17,완료,coupang
2026-05-14,PR153,,6,PRD-20260514-PR153-7976,2026-05-17,완료,coupang
2026-05-14,PR154,,7,PRD-20260514-PR154-7976,2026-08-12,완료,coupang
2026-05-14,PR155,,6,PRD-20260514-PR155-7976,2026-05-17,완료,coupang
2026-05-14,PR159,,3,PRD-20260514-PR159-7976,2026-05-18,완료,coupang
2026-05-14,PR160,,3,PRD-20260514-PR160-7976,2026-05-17,완료,coupang
2026-05-14,PR161,,10,PRD-20260514-PR161-7976,2026-05-17,완료,coupang
2026-05-14,PR165,,10,PRD-20260514-PR165-7976,2026-05-17,완료,coupang
2026-05-14,PR170,,10,PRD-20260514-PR170-7976,2026-05-17,완료,coupang
2026-05-14,PR171,,15,PRD-20260514-PR171-7976,2026-05-17,완료,coupang
2026-05-14,PR172,,10,PRD-20260514-PR172-7976,2026-05-17,완료,coupang
2026-05-14,PR173,,10,PRD-20260514-PR173-7976,2026-05-17,완료,coupang
2026-05-14,PR174,,10,PRD-20260514-PR174-7976,2026-05-17,완료,coupang
2026-05-14,PR176,,3,PRD-20260514-PR176-7976,2026-05-17,완료,coupang
2026-05-14,PR177,,6,PRD-20260514-PR177-7976,2026-05-17,완료,coupang
2026-05-14,PR178,,6,PRD-20260514-PR178-7976,2026-05-17,완료,coupang
2026-05-14,PR186,,10,PRD-20260514-PR186-7976,2026-05-17,완료,coupang
2026-05-14,PR188,,7,PRD-20260514-PR188-7976,2026-05-17,완료,coupang
2026-05-14,PR189,,7,PRD-20260514-PR189-7976,2026-05-17,완료,coupang
2026-05-14,PR193,,6,PRD-20260514-PR193-7976,2026-05-17,완료,coupang
2026-05-14,PR194,,20,PRD-20260514-PR194-7976,2026-06-14,완료,coupang
2026-05-14,PR196,,60,PRD-20260514-PR196-7976,2026-05-17,완료,coupang
2026-05-14,PR197,,60,PRD-20260514-PR197-7976,2026-05-17,완료,coupang
2026-05-14,PR198,,40,PRD-20260514-PR198-7976,2026-05-17,완료,coupang
2026-05-14,PR199,,10,PRD-20260514-PR199-7976,2026-05-17,완료,coupang
2026-05-14,PR200,,40,PRD-20260514-PR200-7976,2026-05-17,완료,coupang
2026-05-14,PR201,,20,PRD-20260514-PR201-7976,2026-06-14,완료,coupang
2026-05-14,PR204,,20,PRD-20260514-PR204-7976,2026-06-14,완료,coupang
2026-05-14,PR216,,100,PRD-20260514-PR216-7976,2026-08-12,완료,coupang
2026-05-14,PR221,,8,PRD-20260514-PR221-0442,2026-08-16,완료,oasis_paste
2026-05-14,PR222,,5,PRD-20260514-PR222-0442,2026-08-16,완료,oasis_paste
2026-05-14,PR239,,20,PRD-20260514-PR239-7976,2026-06-14,완료,coupang
2026-05-14,PR242,,32,PRD-20260514-PR242-7976,2026-06-14,완료,coupang
2026-05-14,PR244,,12,PRD-20260514-PR244-8072,2026-06-14,완료,coupang
2026-05-14,PR245,,320,PRD-20260514-PR245-8072,2027-02-08,완료,coupang
2026-05-14,PR246,,320,PRD-20260514-PR246-8072,2027-02-08,완료,coupang
2026-05-14,PR247,,320,PRD-20260514-PR247-8072,2027-02-08,완료,coupang
2026-05-14,PR248,,112,PRD-20260514-PR248-8072,2027-02-08,완료,coupang
2026-05-13,PD186,"통밀 발효종 베이글, 1개입, 120g",10,PRD-20260513-PD186-0864,2027-05-13,완료,coupang
2026-05-13,PD192,"아몬드토끼쿠키, 1개, 180g",7,PRD-20260513-PD192-0864,2026-05-16,완료,coupang
2026-05-13,PR001,,6,PRD-20260513-PR001-0864,2026-05-16,완료,coupang
2026-05-13,PR002,,3,PRD-20260513-PR002-0864,2026-05-16,완료,coupang
2026-05-13,PR003,,4,PRD-20260513-PR003-0864,2026-05-16,완료,coupang
2026-05-13,PR004,,10,PRD-20260513-PR004-0864,2026-05-16,완료,coupang
2026-05-13,PR004,,6,PRD-20260513-PR004-0864,2026-05-16,완료,coupang
2026-05-13,PR005,,4,PRD-20260513-PR005-0864,2026-05-18,완료,coupang
2026-05-13,PR005,,1,PRD-20260513-PR005-2099,2026-05-18,완료,oasis_paste
2026-05-13,PR007,,1,PRD-20260513-PR007-2099,2026-08-11,완료,oasis_paste
2026-05-13,PR008,,15,PRD-20260513-PR008-0864,2026-05-16,완료,coupang
2026-05-13,PR011,,6,PRD-20260513-PR011-0864,2026-05-16,완료,coupang
2026-05-13,PR012,,6,PRD-20260513-PR012-0864,2026-05-16,완료,coupang
2026-05-13,PR013,,8,PRD-20260513-PR013-0864,2026-05-17,완료,coupang
2026-05-13,PR014,,14,PRD-20260513-PR014-0864,2026-08-11,완료,coupang
2026-05-13,PR014,,60,PRD-20260513-PR014-2431,2026-08-11,완료,kurly_paste
2026-05-13,PR015,,7,PRD-20260513-PR015-0864,2026-05-16,완료,coupang
2026-05-13,PR016,,12,PRD-20260513-PR016-0864,2026-05-17,완료,coupang
2026-05-13,PR017,,12,PRD-20260513-PR017-0864,2026-05-17,완료,coupang
2026-05-13,PR017,,12,PRD-20260513-PR017-0864,2026-05-17,완료,coupang
2026-05-13,PR018,,8,PRD-20260513-PR018-0864,2026-05-17,완료,coupang
2026-05-13,PR020,,24,PRD-20260513-PR020-0864,2026-08-11,완료,coupang
2026-05-13,PR020,,27,PRD-20260513-PR020-2099,2026-08-11,완료,oasis_paste
2026-05-13,PR020,,30,PRD-20260513-PR020-2431,2026-08-11,완료,kurly_paste
2026-05-13,PR021,,3,PRD-20260513-PR021-0864,2026-05-16,완료,coupang
2026-05-13,PR022,,12,PRD-20260513-PR022-0864,2026-05-18,완료,coupang
2026-05-13,PR022,,3,PRD-20260513-PR022-2099,2026-05-18,완료,oasis_paste
2026-05-13,PR024,,7,PRD-20260513-PR024-0864,2026-05-16,완료,coupang
2026-05-13,PR025,,7,PRD-20260513-PR025-0864,2026-05-16,완료,coupang
2026-05-13,PR026,,12,PRD-20260513-PR026-0864,2026-05-16,완료,coupang
2026-05-13,PR028,,6,PRD-20260513-PR028-0864,2026-05-16,완료,coupang
2026-05-13,PR029,,6,PRD-20260513-PR029-0864,2026-05-18,완료,coupang
2026-05-13,PR029,,12,PRD-20260513-PR029-2099,2026-05-18,완료,oasis_paste
2026-05-13,PR030,,7,PRD-20260513-PR030-0864,2026-05-16,완료,coupang
2026-05-13,PR031,,12,PRD-20260513-PR031-0864,2026-08-11,완료,coupang
2026-05-13,PR031,,48,PRD-20260513-PR031-0864,2026-08-11,완료,coupang
2026-05-13,PR031,,48,PRD-20260513-PR031-0864,2026-08-11,완료,coupang
2026-05-13,PR031,,2,PRD-20260513-PR031-2099,2026-08-11,완료,oasis_paste
2026-05-13,PR031,,120,PRD-20260513-PR031-2431,2026-08-11,완료,kurly_paste
2026-05-13,PR032,,7,PRD-20260513-PR032-0864,2026-05-16,완료,coupang
2026-05-13,PR033,,7,PRD-20260513-PR033-0864,2026-05-16,완료,coupang
2026-05-13,PR034,,12,PRD-20260513-PR034-0864,2026-08-11,완료,coupang
2026-05-13,PR034,,80,PRD-20260513-PR034-2431,2026-08-11,완료,kurly_paste
2026-05-13,PR035,,7,PRD-20260513-PR035-0864,2026-05-16,완료,coupang
2026-05-13,PR036,,16,PRD-20260513-PR036-0864,2026-05-16,완료,coupang
2026-05-13,PR037,,20,PRD-20260513-PR037-2431,2027-01-16,완료,kurly_paste
2026-05-13,PR038,,28,PRD-20260513-PR038-0864,2026-08-11,완료,coupang
2026-05-13,PR038,,60,PRD-20260513-PR038-2431,2026-08-11,완료,kurly_paste
2026-05-13,PR039,,6,PRD-20260513-PR039-0864,2026-05-16,완료,coupang
2026-05-13,PR040,,371,PRD-20260513-PR040-0864,2026-08-11,완료,coupang
2026-05-13,PR040,,1125,PRD-20260513-PR040-2431,2026-08-11,완료,kurly_paste
2026-05-13,PR041,,48,PRD-20260513-PR041-0864,2026-05-18,완료,coupang
2026-05-13,PR041,,48,PRD-20260513-PR041-2099,2026-05-18,완료,oasis_paste
2026-05-13,PR042,,80,PRD-20260513-PR042-2431,2027-01-16,완료,kurly_paste
2026-05-13,PR043,,7,PRD-20260513-PR043-0864,2026-08-11,완료,coupang
2026-05-13,PR043,,45,PRD-20260513-PR043-2431,2026-08-11,완료,kurly_paste
2026-05-13,PR044,,12,PRD-20260513-PR044-0864,2026-05-16,완료,coupang
2026-05-13,PR045,,12,PRD-20260513-PR045-0864,2026-05-16,완료,coupang
2026-05-13,PR046,,35,PRD-20260513-PR046-0864,2026-05-16,완료,coupang
2026-05-13,PR047,,108,PRD-20260513-PR047-0864,2026-08-11,완료,coupang
2026-05-13,PR047,,60,PRD-20260513-PR047-2431,2026-08-11,완료,kurly_paste
2026-05-13,PR057,,294,PRD-20260513-PR057-0864,2026-05-16,완료,coupang
2026-05-13,PR058,,36,PRD-20260513-PR058-0864,2026-08-11,완료,coupang
2026-05-13,PR058,,1400,PRD-20260513-PR058-2431,2026-08-11,완료,kurly_paste
2026-05-13,PR059,,7,PRD-20260513-PR059-0864,2026-05-16,완료,coupang
2026-05-13,PR060,,7,PRD-20260513-PR060-0864,2026-05-16,완료,coupang
2026-05-13,PR061,,7,PRD-20260513-PR061-0864,2026-05-16,완료,coupang
2026-05-13,PR062,,7,PRD-20260513-PR062-0864,2026-05-16,완료,coupang
2026-05-13,PR063,,7,PRD-20260513-PR063-0864,2026-05-16,완료,coupang
2026-05-13,PR064,,40,PRD-20260513-PR064-2431,2027-01-16,완료,kurly_paste
2026-05-13,PR065,,7,PRD-20260513-PR065-0864,2026-08-11,완료,coupang
2026-05-13,PR065,,7,PRD-20260513-PR065-0864,2026-08-11,완료,coupang
2026-05-13,PR065,,20,PRD-20260513-PR065-2431,2026-08-11,완료,kurly_paste
2026-05-13,PR066,,7,PRD-20260513-PR066-0864,2026-05-16,완료,coupang
2026-05-13,PR067,,36,PRD-20260513-PR067-0864,2026-05-16,완료,coupang
2026-05-13,PR068,,7,PRD-20260513-PR068-0864,2026-05-16,완료,coupang
2026-05-13,PR069,,12,PRD-20260513-PR069-0864,2026-05-16,완료,coupang
2026-05-13,PR070,,8,PRD-20260513-PR070-0864,2026-05-16,완료,coupang
2026-05-13,PR071,,7,PRD-20260513-PR071-0864,2026-05-18,완료,coupang
2026-05-13,PR071,,88,PRD-20260513-PR071-2099,2026-05-18,완료,oasis_paste
2026-05-13,PR072,,4,PRD-20260513-PR072-0864,2026-05-18,완료,coupang
2026-05-13,PR072,,36,PRD-20260513-PR072-2099,2026-05-18,완료,oasis_paste
2026-05-13,PR073,,4,PRD-20260513-PR073-0864,2026-05-16,완료,coupang
2026-05-13,PR074,,16,PRD-20260513-PR074-0864,2026-08-11,완료,coupang
2026-05-13,PR074,,40,PRD-20260513-PR074-2431,2026-08-11,완료,kurly_paste
2026-05-13,PR075,,16,PRD-20260513-PR075-0864,2026-05-17,완료,coupang
2026-05-13,PR077,,5,PRD-20260513-PR077-0864,2026-05-16,완료,coupang
2026-05-13,PR078,,7,PRD-20260513-PR078-0864,2026-05-18,완료,coupang
2026-05-13,PR078,,48,PRD-20260513-PR078-2099,2026-05-18,완료,oasis_paste
2026-05-13,PR079,,48,PRD-20260513-PR079-0864,2026-05-16,완료,coupang
2026-05-13,PR079,,56,PRD-20260513-PR079-0864,2026-05-16,완료,coupang
2026-05-13,PR080,,24,PRD-20260513-PR080-0864,2026-08-11,완료,coupang
2026-05-13,PR080,,560,PRD-20260513-PR080-2431,2026-08-11,완료,kurly_paste
2026-05-13,PR081,,16,PRD-20260513-PR081-0864,2026-05-16,완료,coupang
2026-05-13,PR082,,5,PRD-20260513-PR082-0864,2026-05-16,완료,coupang
2026-05-13,PR083,,8,PRD-20260513-PR083-0864,2026-08-11,완료,coupang
2026-05-13,PR083,,60,PRD-20260513-PR083-2431,2026-08-11,완료,kurly_paste
2026-05-13,PR084,,18,PRD-20260513-PR084-0864,2026-05-18,완료,coupang
2026-05-13,PR085,,7,PRD-20260513-PR085-0864,2026-05-16,완료,coupang
2026-05-13,PR086,,7,PRD-20260513-PR086-0864,2026-05-16,완료,coupang
2026-05-13,PR087,,5,PRD-20260513-PR087-0864,2026-05-16,완료,coupang
2026-05-13,PR088,,8,PRD-20260513-PR088-0864,2026-05-16,완료,coupang
2026-05-13,PR089,,24,PRD-20260513-PR089-0864,2026-05-16,완료,coupang
2026-05-13,PR090,,6,PRD-20260513-PR090-0864,2026-05-16,완료,coupang
2026-05-13,PR091,,8,PRD-20260513-PR091-0864,2026-05-16,완료,coupang
2026-05-13,PR092,,88,PRD-20260513-PR092-0864,2026-08-11,완료,coupang
2026-05-13,PR092,,20,PRD-20260513-PR092-2431,2026-08-11,완료,kurly_paste
2026-05-13,PR093,,8,PRD-20260513-PR093-0864,2026-05-16,완료,coupang
2026-05-13,PR094,,8,PRD-20260513-PR094-0864,2026-05-16,완료,coupang
2026-05-13,PR095,,8,PRD-20260513-PR095-0864,2026-05-16,완료,coupang
2026-05-13,PR096,,10,PRD-20260513-PR096-0864,2026-05-16,완료,coupang
2026-05-13,PR097,,10,PRD-20260513-PR097-0864,2026-05-16,완료,coupang
2026-05-13,PR098,,10,PRD-20260513-PR098-0864,2026-05-16,완료,coupang
2026-05-13,PR099,,10,PRD-20260513-PR099-0864,2026-05-16,완료,coupang
2026-05-13,PR100,,10,PRD-20260513-PR100-0864,2026-05-16,완료,coupang
2026-05-13,PR106,,10,PRD-20260513-PR106-0864,2026-05-16,완료,coupang
2026-05-13,PR108,,10,PRD-20260513-PR108-0864,2026-05-16,완료,coupang
2026-05-13,PR109,,10,PRD-20260513-PR109-0864,2026-05-16,완료,coupang
2026-05-13,PR110,,10,PRD-20260513-PR110-0864,2026-05-16,완료,coupang
2026-05-13,PR111,,10,PRD-20260513-PR111-0864,2026-05-16,완료,coupang
2026-05-13,PR112,,50,PRD-20260513-PR112-0864,2026-05-16,완료,coupang
2026-05-13,PR113,,20,PRD-20260513-PR113-0864,2026-05-16,완료,coupang
2026-05-13,PR114,,130,PRD-20260513-PR114-0864,2026-05-16,완료,coupang
2026-05-13,PR115,,10,PRD-20260513-PR115-0864,2026-05-20,완료,coupang
2026-05-13,PR116,,20,PRD-20260513-PR116-0864,2026-05-16,완료,coupang
2026-05-13,PR117,,10,PRD-20260513-PR117-0864,2026-05-16,완료,coupang
2026-05-13,PR118,,15,PRD-20260513-PR118-0864,2026-05-16,완료,coupang
2026-05-13,PR119,,20,PRD-20260513-PR119-0864,2026-05-16,완료,coupang
2026-05-13,PR120,,10,PRD-20260513-PR120-0864,2026-05-16,완료,coupang
2026-05-13,PR122,,10,PRD-20260513-PR122-0864,2026-05-16,완료,coupang
2026-05-13,PR123,,20,PRD-20260513-PR123-0864,2026-05-16,완료,coupang
2026-05-13,PR124,,10,PRD-20260513-PR124-0864,2026-05-16,완료,coupang
2026-05-13,PR125,,10,PRD-20260513-PR125-0864,2026-05-16,완료,coupang
2026-05-13,PR127,,6,PRD-20260513-PR127-0864,2026-05-16,완료,coupang
2026-05-13,PR128,,60,PRD-20260513-PR128-0864,2026-05-16,완료,coupang
2026-05-13,PR129,,10,PRD-20260513-PR129-0864,2026-05-16,완료,coupang
2026-05-13,PR130,,100,PRD-20260513-PR130-2431,2026-08-11,완료,kurly_paste
2026-05-13,PR134,,100,PRD-20260513-PR134-2431,2026-08-11,완료,kurly_paste
2026-05-13,PR140,,27,PRD-20260513-PR140-2099,2026-08-15,완료,oasis_paste
2026-05-13,PR147,,12,PRD-20260513-PR147-2099,2026-08-15,완료,oasis_paste
2026-05-13,PR149,,33,PRD-20260513-PR149-2099,2026-08-15,완료,oasis_paste
2026-05-13,PR150,,4,PRD-20260513-PR150-0864,2026-05-16,완료,coupang
2026-05-13,PR153,,6,PRD-20260513-PR153-0864,2026-05-16,완료,coupang
2026-05-13,PR154,,7,PRD-20260513-PR154-0864,2026-08-11,완료,coupang
2026-05-13,PR154,,20,PRD-20260513-PR154-2431,2026-08-11,완료,kurly_paste
2026-05-13,PR155,,6,PRD-20260513-PR155-0864,2026-05-16,완료,coupang
2026-05-13,PR159,,3,PRD-20260513-PR159-0864,2026-05-17,완료,coupang
2026-05-13,PR160,,3,PRD-20260513-PR160-0864,2026-05-16,완료,coupang
2026-05-13,PR161,,20,PRD-20260513-PR161-0864,2026-05-16,완료,coupang
2026-05-13,PR165,,10,PRD-20260513-PR165-0864,2026-05-16,완료,coupang
2026-05-13,PR170,,10,PRD-20260513-PR170-0864,2026-05-16,완료,coupang
2026-05-13,PR171,,15,PRD-20260513-PR171-0864,2026-05-16,완료,coupang
2026-05-13,PR172,,10,PRD-20260513-PR172-0864,2026-05-16,완료,coupang
2026-05-13,PR173,,10,PRD-20260513-PR173-0864,2026-05-16,완료,coupang
2026-05-13,PR174,,10,PRD-20260513-PR174-0864,2026-05-16,완료,coupang
2026-05-13,PR176,,3,PRD-20260513-PR176-0864,2026-05-16,완료,coupang
2026-05-13,PR177,,6,PRD-20260513-PR177-0864,2026-05-16,완료,coupang
2026-05-13,PR178,,6,PRD-20260513-PR178-0864,2026-05-16,완료,coupang
2026-05-13,PR179,,6,PRD-20260513-PR179-0864,2026-05-19,완료,coupang
2026-05-13,PR180,,6,PRD-20260513-PR180-0864,2026-05-19,완료,coupang
2026-05-13,PR181,,6,PRD-20260513-PR181-0864,2026-05-19,완료,coupang
2026-05-13,PR182,,8,PRD-20260513-PR182-0864,2026-05-19,완료,coupang
2026-05-13,PR183,,8,PRD-20260513-PR183-0864,2026-05-19,완료,coupang
2026-05-13,PR184,,20,PRD-20260513-PR184-0864,2026-06-13,완료,coupang
2026-05-13,PR186,,10,PRD-20260513-PR186-0864,2026-05-16,완료,coupang
2026-05-13,PR188,,7,PRD-20260513-PR188-0864,2026-05-16,완료,coupang
2026-05-13,PR189,,7,PRD-20260513-PR189-0864,2026-05-16,완료,coupang
2026-05-13,PR193,,6,PRD-20260513-PR193-0864,2026-05-16,완료,coupang
2026-05-13,PR196,,60,PRD-20260513-PR196-0864,2026-05-16,완료,coupang
2026-05-13,PR197,,60,PRD-20260513-PR197-0864,2026-05-16,완료,coupang
2026-05-13,PR198,,40,PRD-20260513-PR198-0864,2026-05-16,완료,coupang
2026-05-13,PR199,,10,PRD-20260513-PR199-0864,2026-05-16,완료,coupang
2026-05-13,PR200,,40,PRD-20260513-PR200-0864,2026-05-16,완료,coupang
2026-05-13,PR201,,20,PRD-20260513-PR201-0864,2026-06-13,완료,coupang
2026-05-13,PR213,,20,PRD-20260513-PR213-2431,2027-01-16,완료,kurly_paste
2026-05-13,PR216,,100,PRD-20260513-PR216-2431,2026-08-11,완료,kurly_paste
2026-05-13,PR221,,18,PRD-20260513-PR221-2099,2026-08-15,완료,oasis_paste
2026-05-13,PR222,,12,PRD-20260513-PR222-2099,2026-08-15,완료,oasis_paste
2026-05-13,PR223,,12,PRD-20260513-PR223-2099,2026-08-15,완료,oasis_paste
2026-05-13,PR224,,9,PRD-20260513-PR224-2099,2026-08-15,완료,oasis_paste
2026-05-13,PR229,,20,PRD-20260513-PR229-0864,2026-08-11,완료,coupang
2026-05-13,PR230,,20,PRD-20260513-PR230-0864,2026-06-13,완료,coupang
2026-05-13,PR236,,20,PRD-20260513-PR236-0864,2026-06-13,완료,coupang
2026-05-13,PR243,,20,PRD-20260513-PR243-0864,2026-06-13,완료,coupang
2026-05-12,PD186,"통밀 발효종 베이글, 1개입, 120g",10,PRD-20260512-PD186-8305,2027-05-12,완료,coupang
2026-05-12,PD192,"아몬드토끼쿠키, 1개, 180g",7,PRD-20260512-PD192-8305,2026-05-15,완료,coupang
2026-05-12,PR001,,6,PRD-20260512-PR001-8305,2026-05-15,완료,coupang
2026-05-12,PR002,,3,PRD-20260512-PR002-8305,2026-05-15,완료,coupang
2026-05-12,PR003,,4,PRD-20260512-PR003-8305,2026-05-15,완료,coupang
2026-05-12,PR003,,80,PRD-20260512-PR003-9416,2026-12-17,완료,bmart
2026-05-12,PR004,,10,PRD-20260512-PR004-8305,2026-05-15,완료,coupang
2026-05-12,PR004,,6,PRD-20260512-PR004-8305,2026-05-15,완료,coupang
2026-05-12,PR004,,80,PRD-20260512-PR004-9416,2026-12-17,완료,bmart
2026-05-12,PR005,,4,PRD-20260512-PR005-8305,2026-05-17,완료,coupang
2026-05-12,PR005,,3,PRD-20260512-PR005-3136,2026-05-17,완료,oasis_paste
2026-05-12,PR007,,1,PRD-20260512-PR007-3136,2026-08-11,완료,oasis_paste
2026-05-12,PR008,,15,PRD-20260512-PR008-8305,2026-05-15,완료,coupang
2026-05-12,PR011,,6,PRD-20260512-PR011-8305,2026-05-15,완료,coupang
2026-05-12,PR012,,6,PRD-20260512-PR012-8305,2026-05-15,완료,coupang
2026-05-12,PR013,,8,PRD-20260512-PR013-8305,2026-05-16,완료,coupang
2026-05-12,PR014,,14,PRD-20260512-PR014-8305,2026-08-10,완료,coupang
2026-05-12,PR014,,60,PRD-20260512-PR014-9416,2026-08-10,완료,bmart
2026-05-12,PR014,,60,PRD-20260512-PR014-9416,2026-08-10,완료,bmart
2026-05-12,PR015,,7,PRD-20260512-PR015-8305,2026-05-15,완료,coupang
2026-05-12,PR016,,12,PRD-20260512-PR016-8305,2026-05-16,완료,coupang
2026-05-12,PR017,,12,PRD-20260512-PR017-8305,2026-05-16,완료,coupang
2026-05-12,PR017,,12,PRD-20260512-PR017-8305,2026-05-16,완료,coupang
2026-05-12,PR018,,4,PRD-20260512-PR018-8305,2026-05-16,완료,coupang
2026-05-12,PR020,,24,PRD-20260512-PR020-8305,2026-08-10,완료,coupang
2026-05-12,PR020,,170,PRD-20260512-PR020-9416,2026-08-10,완료,bmart
2026-05-12,PR020,,13,PRD-20260512-PR020-3136,2026-08-10,완료,oasis_paste
2026-05-12,PR021,,3,PRD-20260512-PR021-8305,2026-05-15,완료,coupang
2026-05-12,PR022,,6,PRD-20260512-PR022-8305,2026-05-17,완료,coupang
2026-05-12,PR022,,3,PRD-20260512-PR022-3136,2026-05-17,완료,oasis_paste
2026-05-12,PR024,,7,PRD-20260512-PR024-8305,2026-05-15,완료,coupang
2026-05-12,PR025,,7,PRD-20260512-PR025-8305,2026-05-15,완료,coupang
2026-05-12,PR026,,12,PRD-20260512-PR026-8305,2026-05-15,완료,coupang
2026-05-12,PR028,,6,PRD-20260512-PR028-8305,2026-05-15,완료,coupang
2026-05-12,PR029,,6,PRD-20260512-PR029-8305,2026-05-17,완료,coupang
2026-05-12,PR029,,7,PRD-20260512-PR029-3136,2026-05-17,완료,oasis_paste
2026-05-12,PR030,,7,PRD-20260512-PR030-8305,2026-05-15,완료,coupang
2026-05-12,PR031,,12,PRD-20260512-PR031-8305,2026-08-10,완료,coupang
2026-05-12,PR031,,48,PRD-20260512-PR031-8305,2026-08-10,완료,coupang
2026-05-12,PR031,,48,PRD-20260512-PR031-8305,2026-08-10,완료,coupang
2026-05-12,PR031,,1,PRD-20260512-PR031-3136,2026-08-10,완료,oasis_paste
2026-05-12,PR032,,7,PRD-20260512-PR032-8305,2026-05-15,완료,coupang
2026-05-12,PR033,,7,PRD-20260512-PR033-8305,2026-05-15,완료,coupang
2026-05-12,PR034,,12,PRD-20260512-PR034-8305,2026-08-10,완료,coupang
2026-05-12,PR035,,7,PRD-20260512-PR035-8305,2026-05-15,완료,coupang
2026-05-12,PR036,,8,PRD-20260512-PR036-8305,2026-05-15,완료,coupang
2026-05-12,PR038,,21,PRD-20260512-PR038-8305,2026-08-10,완료,coupang
2026-05-12,PR039,,6,PRD-20260512-PR039-8305,2026-05-15,완료,coupang
2026-05-12,PR040,,371,PRD-20260512-PR040-8305,2026-08-10,완료,coupang
2026-05-12,PR041,,48,PRD-20260512-PR041-8305,2026-05-17,완료,coupang
2026-05-12,PR041,,140,PRD-20260512-PR041-9416,2026-05-17,완료,bmart
2026-05-12,PR041,,31,PRD-20260512-PR041-3136,2026-05-17,완료,oasis_paste
2026-05-12,PR043,,7,PRD-20260512-PR043-8305,2026-08-10,완료,coupang
2026-05-12,PR044,,12,PRD-20260512-PR044-8305,2026-05-15,완료,coupang
2026-05-12,PR045,,12,PRD-20260512-PR045-8305,2026-05-15,완료,coupang
2026-05-12,PR046,,28,PRD-20260512-PR046-8305,2026-05-15,완료,coupang
2026-05-12,PR047,,108,PRD-20260512-PR047-8305,2026-08-10,완료,coupang
2026-05-12,PR047,,80,PRD-20260512-PR047-9416,2026-08-10,완료,bmart
2026-05-12,PR057,,224,PRD-20260512-PR057-8305,2026-05-15,완료,coupang
2026-05-12,PR058,,24,PRD-20260512-PR058-8305,2026-08-10,완료,coupang
2026-05-12,PR058,,40,PRD-20260512-PR058-9416,2026-08-10,완료,bmart
2026-05-12,PR059,,7,PRD-20260512-PR059-8305,2026-05-15,완료,coupang
2026-05-12,PR060,,7,PRD-20260512-PR060-8305,2026-05-15,완료,coupang
2026-05-12,PR061,,7,PRD-20260512-PR061-8305,2026-05-15,완료,coupang
2026-05-12,PR062,,7,PRD-20260512-PR062-8305,2026-05-15,완료,coupang
2026-05-12,PR063,,7,PRD-20260512-PR063-8305,2026-05-15,완료,coupang
